ranking,game_id,name,min_players,max_players,avg_timeplay,min_timeplay,max_timeplay,year,avg_rating,num_votes,age,category,designer,weight
1803,1645,War of 1812,2,2,90,90,90,1973,6.99476,582,12,"American Indian Wars, Napoleonic, Wargame","Tom Dalgliesh, Lance Gutteridge",2.0595
1813,136440,Canterbury,2,4,90,90,90,2013,7.01794,549,10,"City Building, Medieval",Andrew Parks,3.1
1814,4370,Fische Fluppen Frikadellen,2,5,90,90,90,2002,6.6185,923,10,Economic,Friedemann Friese,2.5181
1820,42743,Opera,2,4,90,23,90,2009,6.65089,924,12,"Age of Reason, Economic, Music, Renaissance",Hans van Tol,3.2545
1824,68247,The Mines of Zavandor,2,4,90,90,90,2010,6.63799,868,10,Fantasy,Alexander Pfister,2.6164
1842,25071,Munchkin Cthulhu,3,6,90,90,90,2007,6.28364,3910,10,"Card Game, Fighting, Horror, Humor","J. H. G. Hendriks, Steve Jackson (I)",1.719
1843,35035,World at War: Blood and Bridges,2,2,90,45,90,2008,7.68725,363,0,"Modern Warfare, Wargame","Jim Snyder, Mark H. Walker",2.7612
1855,149119,Spirits of the Rice Paddy,2,4,90,90,90,2015,6.87865,601,13,"Farming, Mythology",Philip duBarry,3.1111
1861,3128,Clippers,2,5,90,90,90,2002,6.62975,886,10,"Economic, Nautical",Alan R. Moon,2.6162
1873,179182,Dojo Kun,1,4,90,90,90,2015,7.27286,437,13,"Dice, Fighting",Roberto Pestrin,2.6364
1885,2238,PanzerBlitz,2,2,90,90,90,1970,6.46952,1426,12,"Wargame, World War II",Jim Dunnigan,3.0619
1897,203417,EXIT: The Game ? The Secret Lab,1,6,90,90,90,2016,7.43549,359,12,Deduction,"Inka Brand, Markus Brand",2.75
1921,160559,Simurgh,2,5,90,90,90,2015,6.97392,528,12,"Fantasy, Farming",Pierluca Zizzi,2.9091
1926,129122,Band of Brothers:Ghost Panzer,2,2,90,90,90,2013,8.21308,238,8,"Wargame, World War II",Jim Krohn,2.5
1928,267,Tycoon,2,4,90,90,90,1998,6.80242,626,10,Economic,"Wolfgang Kramer, Horst-Rainer R_sner",2.6538
1942,160968,Homeland: The Game,3,6,90,90,90,2015,6.81052,602,14,"Deduction, Movies / TV / Radio theme, Spies/Secret Agents","Aaron Dill, John Kovaleski, Sean Sweigart",2.7059
1945,86955,Munchkin Zombies,3,6,90,90,90,2011,6.34806,2164,10,"Card Game, Fighting, Humor, Zombies",Steve Jackson (I),1.9674
1951,178134,London Dread,2,4,90,90,90,2016,7.1566,473,14,"Horror, Murder/Mystery, Real-time",Asger Johansen,2.9167
1959,1338,Volldampf,2,6,90,90,90,2001,6.86228,563,12,Trains,Martin Wallace,2.8868
1975,193739,JÌÔrvÌ¥k,2,5,90,90,90,2016,6.92116,542,10,none,Stefan Feld,2.7778
1976,145976,Talon,2,6,90,90,90,2016,7.8207,287,12,"Science Fiction, Wargame",Jim Krohn,2.4
1991,184522,Dead Last,6,12,90,90,90,2016,6.68533,782,14,"Bluffing, Card Game, Negotiation, Party Game","Matthew Grosso, Andy Patton",1.2
1993,30,Dark Tower,1,4,90,90,90,1981,6.6446,1053,10,"Adventure, Electronic, Exploration, Fantasy, Fighting","Roger Burten, Alan Coleman, Vincent A. A. J. Erato",1.8182
2006,63632,Jerusalem,2,4,90,90,90,2010,6.78586,649,12,Medieval,Michele Mura,2.9296
2009,125050,Pay Dirt,2,5,90,90,90,2014,6.90103,523,13,"Environmental, Industry / Manufacturing",Tory Niemann,2.5778
2011,5419,Magna Grecia,2,4,90,90,90,2003,6.58753,780,12,"Ancient, Territory Building","Leo Colovini, Michael Schacht",2.9565
2018,91189,Ristorante Italia,2,5,90,90,90,2011,6.93881,529,10,Economic,"Riccardo Guerra, Giulio Guerra, Marco Mutta",2.3818
